Network,MeanActivation
Visual A,2.06262208709413
Visual B,2.80586994429829
Somatomotor A,0
Somatomotor B,1.18715786661198
Dorsal Attention A,1.85018501122115
Dorsal Attention B,0.396541910927093
Salience A,0.613453385061943
Salience B,0.449062505261704
Limbic A,2.22809186453229
Limbic B,0.524107415787178
Control A,0.47094164231226
Control B,0.716927088638102
Control C,0.821878889203541
Default A,1.16836041420047
Default B,1.54221135457783
Default C,1.36168015798988
Temporal Parietal,1.05382407148818
