Network,MeanActivation
Visual A,0
Visual B,0.143915356165625
Somatomotor A,0.249300886232119
Somatomotor B,0.213391983389738
Dorsal Attention A,0.276521460635294
Dorsal Attention B,0.319238016191794
Salience A,0.236150062275487
Salience B,0.320798736733354
Limbic A,0.135799154110478
Limbic B,0.581623582289961
Control A,0.438479136034358
Control B,0.313907880653628
Control C,0.277128142590494
Default A,0.298001326092943
Default B,0.413355032379021
Default C,0.623305449931381
Temporal Parietal,0.407968598525267
