Network,MeanActivation
Visual A,0.525716051280821
Visual B,0.815493759879818
Somatomotor A,0.271168817331996
Somatomotor B,0.380677323141673
Dorsal Attention A,0.361057270377367
Dorsal Attention B,0.61704341413909
Salience A,0.486868183495277
Salience B,0.837948423180174
Limbic A,0.190104798466037
Limbic B,1.301417610763
Control A,0.609851532598149
Control B,0.465317932496934
Control C,0.780364450645475
Default A,0.654279663569022
Default B,0.46230683164752
Default C,0.563291526223777
Temporal Parietal,0.5232802978143
