Network,MeanActivation
Visual A,0.276354504274079
Visual B,0.686467508841408
Somatomotor A,0.562668228798679
Somatomotor B,1.03850810169551
Dorsal Attention A,0.347524429984333
Dorsal Attention B,0.328948640947454
Salience A,0.618153000766106
Salience B,0.406227807888033
Limbic A,0.978485330606678
Limbic B,1.24511585113854
Control A,0.24934979574222
Control B,0.223340408331404
Control C,0.497343499774893
Default A,0.62353706529948
Default B,0.573131178510673
Default C,0.323258152066992
Temporal Parietal,0.593688461404974
