Network,MeanActivation
Visual A,0
Visual B,0.526220279319727
Somatomotor A,0.315770153003497
Somatomotor B,0.853791004475103
Dorsal Attention A,0.18992566330008
Dorsal Attention B,0
Salience A,0.215683360319598
Salience B,0.187937744429983
Limbic A,0.203335887331443
Limbic B,0.566386597263913
Control A,0.323049905992077
Control B,0.112224437191212
Control C,0.331792374534135
Default A,0.628621468611821
Default B,0.605836695446534
Default C,0.440137404907867
Temporal Parietal,0.294780557921969
