Network,MeanActivation
Visual A,0.47414063692442
Visual B,0.560330133768932
Somatomotor A,1.64759903074978
Somatomotor B,2.37735499306534
Dorsal Attention A,1.03679347018788
Dorsal Attention B,1.45765267076855
Salience A,1.99231195326209
Salience B,1.83184717579435
Limbic A,0.999127292876969
Limbic B,0.344485781814267
Control A,1.72320030412397
Control B,1.63372035902245
Control C,1.47672705629323
Default A,1.08040788144341
Default B,1.64809560430677
Default C,1.87904229031604
Temporal Parietal,1.0823970058394
