Network,MeanActivation
Visual A,0.346920581940288
Visual B,0.379088946243359
Somatomotor A,0.64051463367898
Somatomotor B,0.745402666007323
Dorsal Attention A,0.757358258058665
Dorsal Attention B,0.413959554797027
Salience A,0.375128494637133
Salience B,0.183633703245251
Limbic A,0.319097227259091
Limbic B,0
Control A,0.698021685547601
Control B,0.373693477929766
Control C,0.123730521816645
Default A,0.275738996729156
Default B,0.864875934476202
Default C,0.41072238646464
Temporal Parietal,0.486111347457594
