Network,MeanActivation
Visual A,0.526526739521779
Visual B,0.697878132350672
Somatomotor A,0.223118443541058
Somatomotor B,0.203795713038152
Dorsal Attention A,0.210155971843173
Dorsal Attention B,0.232237941857214
Salience A,0.222709660027457
Salience B,0.396140527738728
Limbic A,0.154335566184824
Limbic B,1.13833101639965
Control A,0.42263075034459
Control B,0.327502580148789
Control C,0.325908916632575
Default A,0.462370035929436
Default B,0.569943831930934
Default C,0.737504411855696
Temporal Parietal,0.583401212702869
