Network,MeanActivation
Visual A,1.72186538564145
Visual B,1.65607688930583
Somatomotor A,0.746562514216342
Somatomotor B,1.39321221475452
Dorsal Attention A,1.8076810472069
Dorsal Attention B,0.919346362710861
Salience A,0.982907557837912
Salience B,0.703263116397655
Limbic A,1.10208202322267
Limbic B,1.36305484735313
Control A,1.82738093356921
Control B,0.91202345997378
Control C,0.420944392382898
Default A,1.34194259503001
Default B,1.70509465244648
Default C,1.28713341313633
Temporal Parietal,1.05966728597289
