Network,MeanActivation
Visual A,0.907758886705176
Visual B,0.762327233349588
Somatomotor A,0.365628355734907
Somatomotor B,0.294500145063129
Dorsal Attention A,0.405597528816268
Dorsal Attention B,0.115274341804474
Salience A,0.291141862754944
Salience B,0.155875601693988
Limbic A,0.435342125632687
Limbic B,0.689226763570516
Control A,0.216895688180247
Control B,0.175591484790109
Control C,0.272963127959047
Default A,0.421603907509593
Default B,0.680572270652892
Default C,0.200082755253338
Temporal Parietal,0.604818233003454
