Network,MeanActivation
Visual A,0.605202207004673
Visual B,0.888339716724302
Somatomotor A,0.306337753126281
Somatomotor B,0.434954201112823
Dorsal Attention A,0.685579570658478
Dorsal Attention B,0.53741400553552
Salience A,0.511601874544671
Salience B,0.196780433506025
Limbic A,0.340450174448625
Limbic B,0.3025333316781
Control A,0.641171821827973
Control B,0.573697228182964
Control C,0.200916555985278
Default A,0.463253440802179
Default B,0.49010018794374
Default C,0.277141582310516
Temporal Parietal,0.313103043556475
