Network,MeanActivation
Visual A,2.37348657031137
Visual B,2.00632007862357
Somatomotor A,0
Somatomotor B,0.502193964199624
Dorsal Attention A,1.59027026143403
Dorsal Attention B,0.131372861266325
Salience A,0.890084737801797
Salience B,1.71889434170969
Limbic A,0.887336599229629
Limbic B,2.45161620503871
Control A,1.24381021364088
Control B,1.27149524965617
Control C,1.05471158242444
Default A,1.00761236761726
Default B,1.85570810974282
Default C,2.03583196404018
Temporal Parietal,1.36319748112756
