Network,MeanActivation
Visual A,0
Visual B,0.217604998701844
Somatomotor A,0.20154993718989
Somatomotor B,0.219508535887144
Dorsal Attention A,0
Dorsal Attention B,0.243167002680251
Salience A,0.452166214763624
Salience B,0.150954061800074
Limbic A,0
Limbic B,0
Control A,0.332563138701195
Control B,0
Control C,0
Default A,0
Default B,0
Default C,0
Temporal Parietal,0
