Network,MeanActivation
Visual A,0.168330053639848
Visual B,0
Somatomotor A,0
Somatomotor B,0
Dorsal Attention A,0
Dorsal Attention B,0
Salience A,0
Salience B,0
Limbic A,0.413942478669328
Limbic B,0.453274192542199
Control A,0
Control B,0.181071748027646
Control C,0.126574392591226
Default A,0
Default B,0
Default C,0.215688053924964
Temporal Parietal,0.287445141545028
