Network,MeanActivation
Visual A,0.25407317772714
Visual B,0.191420126699838
Somatomotor A,0
Somatomotor B,1.19492702209917
Dorsal Attention A,0.324995414064993
Dorsal Attention B,0.326304999839336
Salience A,0.94366313430128
Salience B,1.50657927494928
Limbic A,0.49535327969336
Limbic B,0.80392232114516
Control A,0
Control B,0.764669026602378
Control C,1.01027986646506
Default A,0.958875141743175
Default B,0.44050426745376
Default C,1.02144089611171
Temporal Parietal,1.069807527244
