Network,MeanActivation
Visual A,0.611184085777495
Visual B,0.864400203413932
Somatomotor A,1.39605576644409
Somatomotor B,1.08868923788529
Dorsal Attention A,0.832742633556788
Dorsal Attention B,0.927555354285244
Salience A,1.09097853309207
Salience B,0.946635001739054
Limbic A,0
Limbic B,0.652091308214546
Control A,1.60243310056338
Control B,0.799869867092115
Control C,0.77367497440971
Default A,0.753394099393329
Default B,0.68533169196841
Default C,1.40205766763637
Temporal Parietal,0.771189888331576
